actual,predicted,count
automatic_top_up,transfer_timing,1
balance_not_updated_after_cheque_or_cash_deposit,direct_debit_payment_not_recognised,1
beneficiary_not_allowed,cancel_transfer,1
cancel_transfer,reverted_card_payment?,1
cancel_transfer,transfer_not_received_by_recipient,1
card_acceptance,card_linking,1
card_acceptance,card_not_working,1
card_acceptance,compromised_card,1
card_acceptance,visa_or_mastercard,1
card_delivery_estimate,country_support,1
country_support,verify_source_of_funds,1
declined_transfer,beneficiary_not_allowed,1
declined_transfer,card_not_working,1
failed_transfer,balance_not_updated_after_bank_transfer,1
failed_transfer,top_up_by_bank_transfer_charge,1
fiat_currency_support,country_support,1
fiat_currency_support,reverted_card_payment?,1
get_disposable_virtual_card,getting_spare_card,1
getting_spare_card,disposable_card_limits,1
getting_virtual_card,card_arrival,1
lost_or_stolen_card,card_arrival,1
lost_or_stolen_card,topping_up_by_card,1
lost_or_stolen_card,why_verify_identity,1
lost_or_stolen_phone,lost_or_stolen_card,1
order_physical_card,card_arrival,1
order_physical_card,card_delivery_estimate,1
order_physical_card,card_payment_fee_charged,1
order_physical_card,getting_virtual_card,1
pending_card_payment,card_arrival,1
failed_transfer,beneficiary_not_allowed,1
extra_charge_on_statement,direct_debit_payment_not_recognised,1
declined_transfer,declined_cash_withdrawal,1
extra_charge_on_statement,card_payment_fee_charged,1
declined_transfer,transfer_into_account,1
declined_transfer,transfer_not_received_by_recipient,1
direct_debit_payment_not_recognised,balance_not_updated_after_cheque_or_cash_deposit,1
direct_debit_payment_not_recognised,card_payment_fee_charged,1
direct_debit_payment_not_recognised,card_payment_not_recognised,1
direct_debit_payment_not_recognised,request_refund,1
direct_debit_payment_not_recognised,reverted_card_payment?,1
disposable_card_limits,get_disposable_virtual_card,1
disposable_card_limits,getting_spare_card,1
disposable_card_limits,getting_virtual_card,1
exchange_charge,exchange_via_app,1
exchange_charge,top_up_by_bank_transfer_charge,1
exchange_rate,card_payment_wrong_exchange_rate,1
exchange_rate,exchange_via_app,1
exchange_via_app,receiving_money,1
wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,1
